ticker,name,sector
FILM.JK,PT MD Entertainment Tbk,Barang Konsumen Non-Primer
FIMP.JK,PT Fimperkasa Utama Tbk,Infrastruktur
FIRE.JK,PT Alfa Energi Investama Tbk.,Energi
FISH.JK,FKS Multi Agro Tbk,Barang Konsumen Primer
FITT.JK,PT Hotel Fitra International Tbk,Barang Konsumen Non-Primer
FLMC.JK,PT Falmaco Nonwoven Industri Tbk,Barang Konsumen Primer
FMII.JK,Fortune Mate Indonesia Tbk,Properti & Real Estat
FOLK.JK,PT Multi Garam Utama Tbk.,Perindustrian
FOOD.JK,PT Sentra Food Indonesia Tbk.,Barang Konsumen Primer
FORE.JK,PT Fore Kopi Indonesia Tbk,Barang Konsumen Primer
FORU.JK,Fortune Indonesia Tbk,Barang Konsumen Non-Primer
FPNI.JK,PT Lotte Chemical Titan Tbk.,Barang Baku
FUJI.JK,PT Fuji Finance Indonesia Tbk.,Keuangan
FUTR.JK,PT Futura Energi Global Tbk,Barang Konsumen Non-Primer
FWCT.JK,PT Wijaya Cahaya Timber Tbk,Barang Baku
GAMA.JK,Aksara Global Development Tbk,Properti & Real Estat
GDST.JK,Gunawan Dianjaya Steel Tbk,Barang Baku
GDYR.JK,Goodyear Indonesia Tbk,Barang Konsumen Non-Primer
GEMA.JK,Gema Grahasarana Tbk,Barang Konsumen Non-Primer
GEMS.JK,Golden Energy Mines Tbk,Energi
GGRM.JK,Gudang Garam Tbk,Barang Konsumen Primer
GGRP.JK,PT Gunung Raja Paksi Tbk.,Barang Baku
GHON.JK,PT Gihon Telekomunikasi Indonesia Tbk,Infrastruktur
GIAA.JK,Garuda Indonesia (Persero) Tbk,Transportasi & Logistik
GJTL.JK,Gajah Tunggal Tbk,Barang Konsumen Non-Primer
GLOB.JK,PT Globe Kita Terang Tbk,Barang Konsumen Non-Primer
GLVA.JK,PT Galva Technologies Tbk,Teknologi
GMFI.JK,PT Garuda Maintenance Facility Aero Asia Tbk.,Infrastruktur
GMTD.JK,Gowa Makassar Tourism Development Tbk,Properti & Real Estat
GOLD.JK,PT Visi Telekomunikasi Infrastruktur Tbk.,Infrastruktur
GOLF.JK,PT Intra GolfLink Resorts Tbk,Barang Konsumen Non-Primer
GOLL.JK,PT Golden Plantation Tbk,Barang Konsumen Primer
GOOD.JK,PT Garudafood Putra Putri Jaya Tbk.,Barang Konsumen Primer
GOTO.JK,PT GoTo Gojek Tokopedia Tbk,Teknologi
GPRA.JK,Perdana Gapura Prima Tbk,Properti & Real Estat
GPSO.JK,PT Geoprima Solusi Tbk,Perindustrian
GRIA.JK,PT Ingria Pratama Capitalindo Tbk,Properti & Real Estat
GRPH.JK,PT Griptha Putra Persada Tbk.,Barang Konsumen Non-Primer
GRPM.JK,PT Graha Prima Mentari Tbk.,Barang Konsumen Primer
GSMF.JK,Equity Development Investment Tbk,Keuangan
GTBO.JK,Garda Tujuh Buana Tbk,Energi
GTRA.JK,PT Grahaprima Suksesmandiri Tbk,Transportasi & Logistik
GTSI.JK,PT GTS Internasional Tbk,Energi
GULA.JK,PT Aman Agrindo Tbk,Barang Konsumen Primer
GUNA.JK,PT Gunanusa Eramandiri Tbk,Barang Konsumen Primer
GWSA.JK,PT Greenwood Sejahtera Tbk,Barang Konsumen Non-Primer
GZCO.JK,Gozco Plantations Tbk,Barang Konsumen Primer
HADE.JK,PT Himalaya Energi Perkasa Tbk,Infrastruktur
HAIS.JK,PT Hasnur Internasional Shipping Tbk,Transportasi & Logistik
HAJJ.JK,PT Arsy Buana Travelindo Tbk,Barang Konsumen Non-Primer
HALO.JK,PT Haloni Jane Tbk,Kesehatan
HATM.JK,PT Habco Trans Maritima Tbk,Transportasi & Logistik
HBAT.JK,PT Minahasa Membangun Hebat Tbk,Properti & Real Estat
HDFA.JK,Radana Bhaskara Finance Tbk,Keuangan
HDIT.JK,PT Hensel Davest Indonesia Tbk,Teknologi
HEAL.JK,PT Medikaloka Hermina Tbk.,Kesehatan
HELI.JK,PT Jaya Trishindo Tbk,Transportasi & Logistik
HERO.JK,PT DFI Retail Nusantara Tbk,Barang Konsumen Primer
